C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
16,12,0,9,0,0,0.375,347.040855,,6538261,6062887,6298007,Yes,6299718.333,,0,0,0,No,0,,0.75,0.5625,,347.04085,11,0.6875,0.916666667,1.222222222,O,,,0.565217391,,----,Aromatic,----,----,----,----,,347.12110,347.00000,0.12110
16,14,0,7,0,0,0,317.0666758,,2738213,2133633,2572817,Yes,2481554.333,,0,0,0,No,0,,0.875,0.4375,,317.06668,10,0.625,0.714285714,1.428571429,CRAM,,,0.52,,----,Aromatic,----,----,----,----,,317.13999,317.00000,0.13999
17,10,0,11,0,0,0.705882353,389.0150342,,4798964,4663868,4797408,Yes,4753413.333,,0,0,0,No,0,,0.588235294,0.647058824,,389.01503,13,0.764705882,1.3,1.181818182,O,,,0.652173913,,----,Aromatic,----,----,----,----,,389.10499,389.00000,0.10499
17,10,0,12,0,0,0.823529412,405.0099488,,4050591,3738630,4339089,Yes,4042770,,0,0,0,No,0,,0.588235294,0.705882353,,405.00995,13,0.764705882,1.3,1.083333333,O,,,0.636363636,,----,Aromatic,----,----,----,----,,405.10360,405.00000,0.10360
17,12,0,7,0,0,0.117647059,327.0510258,,1599667,2123165,2103203,Yes,1942011.667,,0,0,0,No,0,,0.705882353,0.411764706,,327.05103,12,0.705882353,1,1.714285714,O,,,0.62962963,,----,Aromatic,----,----,----,----,,327.12665,327.00000,0.12665
17,12,0,8,0,0,0.235294118,343.0459404,,3917161,3572547,4122974,Yes,3870894,,0,0,0,No,0,,0.705882353,0.470588235,,343.04594,12,0.705882353,1,1.5,O,,,0.615384615,,----,Aromatic,----,----,----,----,,343.12526,343.00000,0.12526
17,12,0,9,0,0,0.352941176,359.040855,,5930068,6074323,6978393,Yes,6327594.667,,0,0,0,No,0,,0.705882353,0.529411765,,359.04085,12,0.705882353,1,1.333333333,O,,,0.6,,----,Aromatic,----,----,----,----,,359.12388,359.00000,0.12388
17,14,0,7,0,0,0,329.0666758,,2292286,2372140,2556495,Yes,2406973.667,,0,0,0,No,0,,0.823529412,0.411764706,,329.06668,11,0.647058824,0.785714286,1.571428571,CRAM,,,0.555555556,,----,Aromatic,----,----,----,----,,329.14277,329.00000,0.14277
17,15,1,8,0,0,0.235294118,360.0724894,,1628373,1664756,1743250,Yes,1678793,,0,0,0,No,0,,0.882352941,0.470588235,,360.07249,11,0.647058824,0.733333333,1.375,CRAM,,,0.541666667,,----,Aromatic,----,----,----,----,,360.15575,360.00000,0.15575
17,15,1,9,0,0,0.352941176,376.067404,,1878865,1874988,2118946,Yes,1957599.667,,0,0,0,No,0,,0.882352941,0.529411765,,376.06740,11,0.647058824,0.733333333,1.222222222,CRAM,,,0.52173913,,----,Aromatic,----,----,----,----,,376.15436,376.00000,0.15436
18,10,0,13,0,0,0.888888889,433.0048634,,2040161,2030383,1659842,Yes,1910128.667,,0,0,0,No,0,,0.555555556,0.722222222,,433.00486,14,0.777777778,1.4,1.076923077,O,,,0.652173913,,----,Aromatic,----,----,----,----,,433.10499,433.00000,0.10499
18,12,0,8,0,0,0.222222222,355.0459404,,2987171,3163518,3779237,Yes,3309975.333,,0,0,0,No,0,,0.666666667,0.444444444,,355.04594,13,0.722222222,1.083333333,1.625,O,,,0.642857143,,----,Aromatic,----,----,----,----,,355.12804,355.00000,0.12804
18,12,0,9,0,0,0.333333333,371.040855,,6111756,5592296,5759356,Yes,5821136,,0,0,0,No,0,,0.666666667,0.5,,371.04085,13,0.722222222,1.083333333,1.444444444,O,,,0.62962963,,----,Aromatic,----,----,----,----,,371.12665,371.00000,0.12665
18,12,0,10,0,0,0.444444444,387.0357696,,7698351,6552724,6670886,Yes,6973987,,0,0,0,No,0,,0.666666667,0.555555556,,387.03577,13,0.722222222,1.083333333,1.3,O,,,0.615384615,,----,Aromatic,----,----,----,----,,387.12527,387.00000,0.12527
18,12,0,11,0,0,0.555555556,403.0306842,,7988660,8212280,7533784,Yes,7911574.667,,0,0,0,No,0,,0.666666667,0.611111111,,403.03068,13,0.722222222,1.083333333,1.181818182,O,,,0.6,,----,Aromatic,----,----,----,----,,403.12388,403.00000,0.12388
18,12,0,12,0,0,0.666666667,419.0255988,,5711895,5499542,5921534,Yes,5710990.333,,0,0,0,No,0,,0.666666667,0.666666667,,419.02560,13,0.722222222,1.083333333,1.083333333,O,,,0.583333333,,----,Aromatic,----,----,----,----,,419.12249,419.00000,0.12249
18,12,0,13,0,0,0.777777778,435.0205134,,3173993,3147976,3530510,Yes,3284159.667,,0,0,0,No,0,,0.666666667,0.722222222,,435.02051,13,0.722222222,1.083333333,1,O,,,0.565217391,,----,Aromatic,----,----,----,----,,435.12111,435.00000,0.12111
18,14,0,7,0,0,0,341.0666758,,2614082,2350440,2873180,Yes,2612567.333,,0,0,0,No,0,,0.777777778,0.388888889,,341.06668,12,0.666666667,0.857142857,1.714285714,CRAM,,,0.586206897,,----,Aromatic,----,----,----,----,,341.14554,341.00000,0.14554
18,15,1,10,0,0,0.444444444,404.0623186,,1944117,2042279,1862717,Yes,1949704.333,,0,0,0,No,0,,0.833333333,0.555555556,,404.06232,12,0.666666667,0.8,1.2,CRAM,,,0.541666667,,----,Aromatic,----,----,----,----,,404.15575,404.00000,0.15575
18,16,0,6,0,0,-0.222222222,327.0874112,,2137786,2115236,2053034,Yes,2102018.667,,0,0,0,No,0,,0.888888889,0.333333333,,327.08741,11,0.611111111,0.6875,1.833333333,O,,,0.533333333,,----,Aromatic,----,----,----,----,,327.16305,327.00000,0.16305
18,16,0,7,0,0,-0.111111111,343.0823258,,4146036,3920716,3964264,Yes,4010338.667,,0,0,0,No,0,,0.888888889,0.388888889,,343.08233,11,0.611111111,0.6875,1.571428571,CRAM,,,0.517241379,,----,Aromatic,----,----,----,----,,343.16166,343.00000,0.16166
19,12,0,9,0,0,0.315789474,383.040855,,4273860,4168961,3988070,Yes,4143630.333,,0,0,0,No,0,,0.631578947,0.473684211,,383.04085,14,0.736842105,1.166666667,1.555555556,O,,,0.655172414,,----,Aromatic,----,----,----,----,,383.12943,383.00000,0.12943
19,12,0,10,0,0,0.421052632,399.0357696,,5506876,4985142,5579505,Yes,5357174.333,,0,0,0,No,0,,0.631578947,0.526315789,,399.03577,14,0.736842105,1.166666667,1.4,O,,,0.642857143,,----,Aromatic,----,----,----,----,,399.12804,399.00000,0.12804
