mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
359.0619842,359.06198,14,16,0,11,0,0,1.142857143,0.785714286,7,0.5,0.4375,0.636363636,O,0.176470588,----,----,HUnSatLig,----,----,----,359.14501,359,0.14501,8655946,8240869,7830382,0,0,0
375.0568988,375.0569,14,16,0,12,0,0,1.142857143,0.857142857,7,0.5,0.4375,0.583333333,O,0.125,----,----,HUnSatLig,----,----,----,375.14363,375,0.14363,6944183,6246005,5731342,0,0,0
391.0518134,391.05181,14,16,0,13,0,0,1.142857143,0.928571429,7,0.5,0.4375,0.538461538,O,0.066666667,----,----,HUnSatLig,----,----,----,391.14224,391,0.14224,3219855,2991411,2580359,0,0,0
329.087805,329.0878,14,18,0,9,0,0,1.285714286,0.642857143,6,0.428571429,0.333333333,0.666666667,O,0.157894737,----,----,HUnSatLig,----,----,----,329.1639,329,0.1639,5214389,4937699,4581709,2958475,3005166,3117730
345.0827196,345.08272,14,18,0,10,0,0,1.285714286,0.714285714,6,0.428571429,0.333333333,0.6,O,0.111111111,----,----,HUnSatLig,----,----,----,345.16251,345,0.16251,6489610,6142645,5659391,2960721,2237491,2496007
361.0776342,361.07763,14,18,0,11,0,0,1.285714286,0.785714286,6,0.428571429,0.333333333,0.545454545,O,0.058823529,----,----,HUnSatLig,----,----,----,361.16113,361,0.16113,7589497,7241056,5911045,0,0,0
377.0725488,377.07255,14,18,0,12,0,0,1.285714286,0.857142857,6,0.428571429,0.333333333,0.5,O,0,----,----,HUnSatLig,----,----,----,377.15974,377,0.15974,7172059,6754511,5454474,0,0,0
393.0674634,393.06746,14,18,0,13,0,0,1.285714286,0.928571429,6,0.428571429,0.333333333,0.461538462,O,-0.066666667,----,----,HUnSatLig,----,----,----,393.15835,393,0.15835,6573900,5860583,3916605,0,0,0
376.0885332,376.08853,14,19,1,11,0,0,1.357142857,0.785714286,6,0.428571429,0.315789474,0.545454545,O,0,----,----,HUnSatLig,----,----,----,376.1755,376,0.1755,2889936,3421099,2725206,0,0,0
331.103455,331.10345,14,20,0,9,0,0,1.428571429,0.642857143,5,0.357142857,0.25,0.555555556,O,0.052631579,----,----,HUnSatLig,----,----,----,331.18002,331,0.18002,4745783,4552073,3396799,2897022,3099292,2850391
347.0983696,347.09837,14,20,0,10,0,0,1.428571429,0.714285714,5,0.357142857,0.25,0.5,O,0,----,----,HUnSatLig,----,----,----,347.17863,347,0.17863,5235701,5090528,4301089,2110885,2168950,2973260
363.0932842,363.09328,14,20,0,11,0,0,1.428571429,0.785714286,5,0.357142857,0.25,0.454545455,O,-0.058823529,----,----,HUnSatLig,----,----,----,363.17724,363,0.17724,11122859,9571294,8022178,7350566,6151271,6595151
379.0881988,379.0882,14,20,0,12,0,0,1.428571429,0.857142857,5,0.357142857,0.25,0.416666667,O,-0.125,----,----,HUnSatLig,----,----,----,379.17586,379,0.17586,15350264,14679835,11713783,4893745,5338244,4764362
395.0831134,395.08311,14,20,0,13,0,0,1.428571429,0.928571429,5,0.357142857,0.25,0.384615385,O,-0.2,----,----,HUnSatLig,----,----,----,395.17447,395,0.17447,14276854,15576700,9604302,2754433,3405324,2913114
411.078028,411.07803,14,20,0,14,0,0,1.428571429,1,5,0.357142857,0.25,0.357142857,O,-0.285714286,----,----,HUnSatLig,----,----,----,411.17308,411,0.17308,8526553,8691216,5836554,0,0,0
362.1092686,362.10927,14,21,1,10,0,0,1.5,0.714285714,5,0.357142857,0.238095238,0.5,O,-0.0625,----,----,----,----,SatFACarb,----,362.193,362,0.193,2979736,3293350,2534747,2409454,2886431,2500869
378.1041832,378.10418,14,21,1,11,0,0,1.5,0.785714286,5,0.357142857,0.238095238,0.454545455,O,-0.133333333,----,----,----,----,SatFACarb,----,378.19161,378,0.19161,5686513,6303230,4151242,4030232,4068188,3537305
394.0990978,394.0991,14,21,1,12,0,0,1.5,0.857142857,5,0.357142857,0.238095238,0.416666667,O,-0.214285714,----,----,----,----,SatFACarb,----,394.19023,394,0.19023,5601321,5965242,4191247,0,0,0
