"","Mass","HW","SW"
"620",391.1399,15894072.3333333,16051692.6666667
"621",391.143,3942286.33333333,19620675
"622",391.161,3132307.33333333,3904327
"623",391.1762,13437847.3333333,12717557
"624",391.1974,4334151.66666667,11994617.3333333
"625",391.2126,6331638.66666667,6888274
"626",391.2337,3187111,3982849.66666667
"627",391.249,,1844186.5
"628",391.2701,2245055,3935071.33333333
"629",392.0623,2784555.66666667,2045366.33333333
"630",392.0987,2887477,2242067.66666667
"631",392.1351,,1802097
"632",392.1497,1974708,1770326
"633",392.1827,4861429.66666667,2744443
"634",393.01,3565597.66666667,3392383
"635",393.0252,2180129.66666667,2028441.5
"636",393.0463,12967292.3333333,12684508
"637",393.0616,2958037.66666667,2565001.66666667
"638",393.0827,16255024,16774371.3333333
"639",393.0859,2125873,3086222.66666667
"640",393.094,2010547,
"641",393.098,1840521.33333333,2104380
"642",393.1038,2873738.66666667,2634642.33333333
"643",393.1191,17578041,17970411
"644",393.1303,2152381,1674962.5
"645",393.1402,2830057,2052420.33333333
"646",393.1555,16862615.3333333,19554205
"647",393.1766,3447197,2889462.66666667
"648",393.1919,12315382,13640954
"649",393.213,1891238.33333333,2297512.66666667
"650",393.2283,4425130,5322668
"651",394.078,2972795,2042029.66666667
"652",394.1143,2452441,1894154.33333333
"653",394.162,2677732.33333333,2307006.33333333
"654",394.1653,,1704706
"655",394.1984,2702487.66666667,2131995
"656",395.0256,5998428,6210492.33333333
"657",395.0409,3882335.66666667,3057770
"658",395.062,15856143,14919278
"659",395.0773,3435026.66666667,3142427.66666667
"660",395.0984,16531309,17614453
"661",395.1096,1862682.33333333,
"662",395.1137,2333552.66666667,2311799.66666667
"663",395.1195,28609052.6666667,16658723.6666667
"664",395.1348,15553738.6666667,16915409.3333333
"665",395.1559,2699717,2082431.66666667
"666",395.1711,17653630,22570626.6666667
"667",395.1865,1764684,
"668",395.1922,3641219,2991921.66666667
"669",395.2075,9297457.33333333,12779145.6666667
"670",395.2439,3192718.66666667,4638352.66666667
"671",396.0572,2151072.5,
"672",396.0936,2529360,2050521.33333333
"673",396.1091,1962668.5,3513649.33333333
"674",396.13,1980850,1664565.5
"675",396.1412,1848410.33333333,1769814.5
"676",396.1776,2089661,2277438.5
"677",396.214,2658752,2134767.33333333
"678",397.0201,3662447.33333333,2746324
"679",397.0413,7836617.33333333,8098434.66666667
"680",397.0565,4894327.33333333,4778629
"681",397.0776,13682982.3333333,14481374
"682",397.0929,4378580.33333333,4656779.33333333
"683",397.0988,2280851.5,2203276.33333333
"684",397.114,13662510,14131855
"685",397.1293,3421489.66666667,3276946
"686",397.1351,3211229.33333333,2409789.33333333
"687",397.1504,13390134,15306048
"688",397.1657,2493753.33333333,2325656
"689",397.1868,13772435,21407729.3333333
"690",397.2021,1798699,
"691",397.2232,7312368,10861900.6666667
"692",397.2596,,2026664
"693",398.0517,1748713,
"694",398.0729,1802478,
"695",398.0881,1839729,
"696",398.1093,2231976,2673463
"697",398.1569,3593905.33333333,3360404.33333333
"698",398.1933,2925752.33333333,2707951.66666667
"699",398.9994,2380290.66666667,
"700",399.0205,1719900.33333333,2000670.66666667
"701",399.0358,6182239,5357174.33333333
"702",399.0569,8037390,8298788.33333333
"703",399.0721,6750224.66666667,6574374.66666667
"704",399.0933,11643583.6666667,11753087.3333333
"705",399.1086,5460674.66666667,5933014.66666667
"706",399.1144,,1978910.5
"707",399.1297,10778651.6666667,10729092.6666667
"708",399.133,2882759.33333333,2610992
"709",399.1449,5092041.33333333,4882738
