"Mass","Forest","fenton","adsorbed","HC","OC","Class"
341.0878,"HW","PostFenton","unbound",1.2,0.6,"Lignin-like"
341.0878,"HW","PreFenton","unbound",1.2,0.6,"Lignin-like"
341.1031,"HW","PreFenton","sorbed",0.95,0.32,"Lignin-like"
341.1089,"HW","PostFenton","sorbed",1.83,0.92,"Carbohydrate-like"
341.1089,"HW","PreFenton","unbound",1.83,0.92,"Carbohydrate-like"
341.1242,"HW","PostFenton","unbound",1.38,0.5,"Lignin-like"
341.1242,"HW","PreFenton","unbound",1.38,0.5,"Lignin-like"
341.1467,"HW","PostFenton","new",1.57,0.43,"Aliphatic+N"
341.1606,"HW","PostFenton","unbound",1.53,0.41,"Aliphatic-noN"
341.1606,"HW","PreFenton","unbound",1.53,0.41,"Aliphatic-noN"
341.1792,"HW","PostFenton","new",1.67,0.22,"Aliphatic-noN"
341.183,"HW","PostFenton","new",1.73,0.33,"Aliphatic+N"
341.183,"HW","PreFenton","unbound",1.73,0.33,"Aliphatic+N"
341.197,"HW","PostFenton","unbound",1.67,0.33,"Aliphatic-noN"
341.197,"HW","PreFenton","unbound",1.67,0.33,"Aliphatic-noN"
341.2082,"HW","PreFenton","new",1.76,0.29,"Aliphatic+N"
341.2333,"HW","PreFenton","new",1.79,0.26,"Aliphatic-noN"
342.1307,"HW","PostFenton","unbound",1.5,0.5,"Aliphatic+N"
342.1307,"HW","PreFenton","unbound",1.5,0.5,"Aliphatic+N"
342.1671,"HW","PostFenton","unbound",1.67,0.4,"Aliphatic+N"
342.1671,"HW","PreFenton","unbound",1.67,0.4,"Aliphatic+N"
342.2034,"HW","PostFenton","new",1.81,0.31,"Aliphatic+N"
342.2398,"HW","PostFenton","new",1.94,0.24,"Aliphatic+N"
342.2398,"HW","PreFenton","unbound",1.94,0.24,"Aliphatic+N"
343.0096,"HW","PreFenton","sorbed",0.5,0.56,"Condensed Ar"
343.0307,"HW","PostFenton","sorbed",0.92,0.85,"Lignin-like"
