Mass,HC,OC
717.1369,1.36,0.96
717.2461,1.64,0.75
719.2615,1.71,0.75
719.2621,1.71,0.75
721.1316,1.42,1.04
721.2411,1.7,0.81
723.239,0.75,0.15
725.2185,1.03,0.21
729.246,1.59,0.72
731.1525,1.38,0.92
731.2251,1.57,0.79
731.2255,1.57,0.79
733.2775,1.72,0.72
735.1477,1.44,1
735.2565,1.71,0.79
745.1684,0.53,0.06
745.2773,1.67,0.7
745.2778,1.67,0.7
747.2567,1.66,0.76
747.2929,1.73,0.7
747.2934,1.09,0.11
749.163,1.46,0.96
749.1635,0.54,0.08
749.2358,1.64,0.82
757.2044,1.45,0.79
758.2049,1.09,0.5
759.2569,1.6,0.73
761.2723,1.67,0.73
763.1787,1.48,0.93
763.2515,1.66,0.79
763.2881,1.73,0.73
775.2885,0.83,0.08
777.2313,0.66,0.06
779.2467,0.7,0.06
781.2258,1.64,0.89
787.2152,1.47,0.8
791.2469,0.69,0.06
795.2418,1.66,0.86
809.2575,0.72,0.07
811.3108,1.2,0.13
819.2052,0.61,0.09
819.2423,0.75,0.13
819.2784,0.73,0.05
827.2681,0.85,0.15
841.2474,0.72,0.11
853.2115,0.65,0.13
861.2889,0.74,0.07
867.2629,0.73,0.11
867.2634,0.81,0.17
909.2742,0.82,0.18
909.3106,0.88,0.16
910.6131,2.02,0.19
921.2007,0.61,0.16
923.3259,0.82,0.1
965.3358,0.82,0.11
966.3398,0.8,0.15
971.3125,0.66,0.09
303.0722,1.33,0.75
328.115,1.46,0.54
319.1398,1.71,0.57
358.078,1.21,0.71
331.0307,1,0.92
597.0732,0.92,0.75
631.2456,1.76,0.72
737.1994,1.62,0.92
747.1834,1.48,0.89
733.241,1.64,0.79
601.2349,1.75,0.71
365.0362,1.17,1.08
311.062,1.6,1.1
658.1836,1.54,0.83
331.1147,1.54,0.62
593.1393,0.54,0.12
355.1148,1.33,0.53
659.1313,1.39,0.96
344.11,1.46,0.62
705.246,1.7,0.78
609.1343,0.54,0.15
567.1676,1.52,0.76
642.2364,1.71,0.71
456.1358,1.69,0.88
599.1619,1.23,0.62
330.1307,1.62,0.54
587.2193,1.74,0.74
644.2042,1.62,0.79
605.1877,1.17,0.48
438.1616,1.71,0.71
547.1668,1.39,0.65
416.0835,1.19,0.75
547.094,1.14,0.81
547.2032,1.5,0.58
356.0987,1.27,0.6
571.0941,1.04,0.74
444.1735,1.04,0.11
541.0473,0.86,0.81
514.2153,1.1,0.13
311.0984,1.82,0.91
371.146,1.5,0.5
789.2308,1.53,0.8
584.1832,1.59,0.77
422.0941,1.4,0.87
373.089,1.29,0.71
545.2087,1.81,0.76
341.015,0.77,0.85
339.1602,1.14,0.19
567.0628,0.87,0.74
411.348,1.92,0.16
777.2308,1.59,0.83
613.1775,1.26,0.59
625.1986,1.52,0.72
386.0729,1.13,0.73
347.1096,1.54,0.69
456.1735,1,0.11
839.2315,0.69,0.11
416.1198,1.35,0.65
392.1675,1.8,0.6
547.1305,1.27,0.73
470.1892,1.03,0.1
