soil,Mass,Class,intensity,Forest,Treatment,Fenton,Goethite
Soil_1,379.161,AminoSugar,4897208,HW,PreFenton,PreFenton,PreGoethite
Soil_1,379.1762,Lignin,16231870,HW,PreFenton,PreFenton,PreGoethite
Soil_1,379.2126,Lipid,6893003,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.0827,Lignin,16179298,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.1191,Lignin,15736943,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.1402,Carb,2862710,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.1555,Lignin,17490044,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.1766,AminoSugar,3930243,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.1919,Protein,14987400,HW,PreFenton,PreFenton,PreGoethite
Soil_1,381.2283,Lipid,5494933,HW,PreFenton,PreFenton,PreGoethite
Soil_1,382.162,Lignin,3168729,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.0256,Tannin,4374272,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.062,Tannin,13148940,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.0984,Lignin,15500057,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.1195,Carb,4572960,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.1348,Lignin,13738789,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.2075,Protein,11291454,HW,PreFenton,PreFenton,PreGoethite
Soil_1,383.2439,Lipid,3819338,HW,PreFenton,PreFenton,PreGoethite
Soil_1,384.214,Protein,3102351,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.0776,Tannin,11255212,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.0929,Lignin,6019505,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.114,Lignin,12443063,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.1174,Carb,6878649,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.1293,Lignin,5663164,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.1504,Lignin,11224515,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.1657,Lignin,5131720,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.1868,Protein,12783055,HW,PreFenton,PreFenton,PreGoethite
Soil_1,385.2232,Protein,8877531,HW,PreFenton,PreFenton,PreGoethite
Soil_1,386.1569,Protein,4204296,HW,PreFenton,PreFenton,PreGoethite
Soil_1,386.1933,Protein,4945684,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.0569,Tannin,7258149,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.0722,Lignin,9191465,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.0933,Tannin,7821360,HW,PreFenton,PreFenton,PreGoethite
