"C","H","N","O","S","P","Mass","HC","OC","DBE","CRAM","AI_mod","Class","KM","NKM","KMD"
16,24,0,6,0,0,311.15,1.5,0.38,5,"CRAM",0.153846154,"UnSatAliph_noN",311.22196,311,0.22196
16,24,0,7,0,0,327.1449,1.5,0.44,5,"O",0.12,"UnSatAliph_noN",327.22057,327,0.22057
16,24,0,8,0,0,343.1398,1.5,0.5,5,"O",0.083333333,"UnSatAliph_noN",343.21919,343,0.21919
16,24,0,9,0,0,359.1348,1.5,0.56,5,"O",0.043478261,"UnSatAliph_noN",359.2178,359,0.2178
16,24,0,10,0,0,375.1297,1.5,0.62,5,"O",0,"SatFatAcCarb",375.21641,375,0.21641
16,24,0,12,0,0,407.1195,1.5,0.75,5,"O",-0.1,"SatFatAcCarb",407.21364,407,0.21364
16,24,0,13,0,0,423.1144,1.5,0.81,5,"O",-0.157894737,"SatFatAcCarb",423.21225,423,0.21225
16,24,2,9,0,0,387.1409,1.5,0.56,6,"O",0.052631579,"Aliphat+N",387.23042,387,0.23042
16,24,4,7,0,0,383.1572,1.5,0.44,7,"CRAM",0.176470588,"Aliphat+N",383.24582,383,0.24582
16,24,4,8,0,0,399.1521,1.5,0.5,7,"CRAM",0.125,"Aliphat+N",399.24443,399,0.24443
16,25,2,11,0,1,451.1123,1.56,0.69,6,"O",-0.133333333,"SatFatAcCarb",451.21663,451,0.21663
16,25,3,5,0,0,338.1721,1.56,0.31,6,"CRAM",0.19047619,"Aliphat+N",338.25034,338,0.25034
16,25,3,6,0,0,354.1671,1.56,0.38,6,"CRAM",0.15,"Aliphat+N",354.24895,354,0.24895
16,25,3,7,0,0,370.162,1.56,0.44,6,"CRAM",0.105263158,"Aliphat+N",370.24757,370,0.24757
16,25,3,8,0,0,386.1569,1.56,0.5,6,"O",0.055555556,"Aliphat+N",386.24618,386,0.24618
16,25,3,9,0,0,402.1518,1.56,0.56,6,"O",0,"Aliphat+N",402.24479,402,0.24479
16,26,0,6,0,0,313.1657,1.62,0.38,4,"O",0.076923077,"UnSatAliph_noN",313.23808,313,0.23808
16,26,0,7,0,0,329.1606,1.62,0.44,4,"O",0.04,"UnSatAliph_noN",329.23669,329,0.23669
16,26,0,8,0,0,345.1555,1.62,0.5,4,"O",0,"UnSatAliph_noN",345.2353,345,0.2353
16,26,0,9,0,0,361.1504,1.62,0.56,4,"O",-0.043478261,"UnSatAliph_noN",361.23392,361,0.23392
16,26,0,10,0,0,377.1453,1.62,0.62,4,"O",-0.090909091,"SatFatAcCarb",377.23253,377,0.23253
16,26,0,11,0,0,393.1402,1.62,0.69,4,"O",-0.142857143,"SatFatAcCarb",393.23114,393,0.23114
16,26,0,12,0,0,409.1351,1.62,0.75,4,"O",-0.2,"SatFatAcCarb",409.22976,409,0.22976
16,26,0,13,0,0,425.1301,1.62,0.81,4,"O",-0.263157895,"SatFatAcCarb",425.22837,425,0.22837
16,26,0,14,0,0,441.125,1.62,0.88,4,"O",-0.333333333,"SatFatAcCarb",441.22698,441,0.22698
16,26,2,7,0,0,357.1667,1.62,0.44,5,"O",0.047619048,"Aliphat+N",357.24931,357,0.24931
16,26,2,10,0,0,405.1515,1.62,0.62,5,"O",-0.111111111,"SatFatAcCarb",405.24515,405,0.24515
16,26,4,6,0,0,369.178,1.62,0.38,6,"CRAM",0.111111111,"Aliphat+N",369.26332,369,0.26332
16,26,4,7,0,0,385.1729,1.62,0.44,6,"CRAM",0.058823529,"Aliphat+N",385.26194,385,0.26194
16,26,4,8,0,0,401.1678,1.62,0.5,6,"O",0,"Aliphat+N",401.26055,401,0.26055
16,27,3,5,0,0,340.1878,1.69,0.31,5,"O",0.095238095,"Aliphat+N",340.26646,340,0.26646
16,27,3,6,0,0,356.1827,1.69,0.38,5,"O",0.05,"Aliphat+N",356.26507,356,0.26507
