Mass,Forest,treatment,intensity
571.3125,HW,PreFenton,0
571.3488,HW,PreFenton,0
572.1594,HW,PreFenton,0
573.2553,HW,PreFenton,0
573.2764,HW,PreFenton,0
573.2917,HW,PreFenton,0
573.3069,HW,PreFenton,0
573.3314,HW,PreFenton,0
573.3644,HW,PreFenton,0
575.2346,HW,PreFenton,0
575.271,HW,PreFenton,0
575.3073,HW,PreFenton,0
575.3226,HW,PreFenton,0
577.1444,HW,PreFenton,0
577.1808,HW,PreFenton,0
577.2502,HW,PreFenton,0
577.2866,HW,PreFenton,0
577.3019,HW,PreFenton,0
577.3383,HW,PreFenton,0
579.149,HW,PreFenton,0
579.16010000000006,HW,PreFenton,0
579.2658,HW,PreFenton,0
579.3023,HW,PreFenton,0
579.3176,HW,PreFenton,0
580.1569,HW,PreFenton,0
581.2029,HW,PreFenton,0
581.2088,HW,PreFenton,0
581.2452,HW,PreFenton,0
581.2815,HW,PreFenton,0
581.2967,HW,PreFenton,0
581.3331,HW,PreFenton,0
581.3695,HW,PreFenton,0
583.1185,HW,PreFenton,0
583.1822,HW,PreFenton,0
583.2185,HW,PreFenton,0
583.2244,HW,PreFenton,0
583.255,HW,PreFenton,0
583.3125,HW,PreFenton,0
583.3488,HW,PreFenton,0
583.3853,HW,PreFenton,0
585.1745,HW,PreFenton,0
585.1978,HW,PreFenton,0
585.2342,HW,PreFenton,0
585.2401,HW,PreFenton,0
585.2918,HW,PreFenton,0
585.3282,HW,PreFenton,0
585.3646,HW,PreFenton,0
585.4008,HW,PreFenton,0
586.3094,HW,PreFenton,0
587.2709,HW,PreFenton,0
587.2862,HW,PreFenton,0
587.3074,HW,PreFenton,0
588.1781,HW,PreFenton,0
589.2502,HW,PreFenton,0
589.2866,HW,PreFenton,0
589.3018,HW,PreFenton,0
591.1415,HW,PreFenton,0
591.1965,HW,PreFenton,0
591.2659,HW,PreFenton,0
591.3023,HW,PreFenton,0
591.3176,HW,PreFenton,0
593.1646,HW,PreFenton,0
593.1758,HW,PreFenton,0
593.2814,HW,PreFenton,0
593.2967,HW,PreFenton,0
593.3332,HW,PreFenton,0
594.1726,HW,PreFenton,0
595.155,HW,PreFenton,0
595.3124,HW,PreFenton,0
595.3489,HW,PreFenton,0
596.1518,HW,PreFenton,0
597.1252,HW,PreFenton,0
597.1978,HW,PreFenton,0
597.2341,HW,PreFenton,0
597.2402,HW,PreFenton,0
597.2705,HW,PreFenton,0
597.2917,HW,PreFenton,0
597.3281,HW,PreFenton,0
599.1043,HW,PreFenton,0
599.2135,HW,PreFenton,0
599.25,HW,PreFenton,0
599.2557,HW,PreFenton,0
599.271,HW,PreFenton,0
599.2862,HW,PreFenton,0
599.3074,HW,PreFenton,0
599.3438,HW,PreFenton,0
601.2502,HW,PreFenton,0
601.2654,HW,PreFenton,0
601.2867,HW,PreFenton,0
601.3018,HW,PreFenton,0
601.323,HW,PreFenton,0
601.3956,HW,PreFenton,0
601.396,HW,PreFenton,0
602.2315,HW,PreFenton,0
603.2659,HW,PreFenton,0
603.281,HW,PreFenton,0
603.3023,HW,PreFenton,0
603.3175,HW,PreFenton,0
603.328,HW,PreFenton,0
605.2604,HW,PreFenton,0
605.2816,HW,PreFenton,0
605.2968,HW,PreFenton,0
605.3333,HW,PreFenton,0
607.1305,HW,PreFenton,0
607.2761,HW,PreFenton,0
607.297,HW,PreFenton,0
607.3125,HW,PreFenton,0
607.349,HW,PreFenton,0
609.1461,HW,PreFenton,0
609.1706,HW,PreFenton,0
609.2917,HW,PreFenton,0
609.3282,HW,PreFenton,0
610.0957,HW,PreFenton,0
611.1771,HW,PreFenton,0
611.2194,HW,PreFenton,0
611.3074,HW,PreFenton,0
611.3438,HW,PreFenton,0
613.1564,HW,PreFenton,0
613.1694,HW,PreFenton,0
613.1929,HW,PreFenton,0
613.2292,HW,PreFenton,0
613.235,HW,PreFenton,0
613.2502,HW,PreFenton,0
613.2655,HW,PreFenton,0
613.2866,HW,PreFenton,0
613.323,HW,PreFenton,0
615.2084,HW,PreFenton,0
615.2447,HW,PreFenton,0
615.2506,HW,PreFenton,0
615.2659,HW,PreFenton,0
615.2811,HW,PreFenton,0
615.3023,HW,PreFenton,0
615.3177,HW,PreFenton,0
