"","C","H","N","O","S","P","Mass","HC","OC","m.z","DBE","CRAM","AI.mod","PolyCyArom","Aromatic","HighUnsatLign","UnSatAliph_noN","SatFatAcCarb","UnSatAlip.N","KM","NKM","KMD"
"89",15,20,0,12,0,0,391.0882,1.333333333,0.8,391.0882,6,"O",0,"----","----","HUnSatLig","----","----","----",391.17863,391,0.17863
"90",15,20,0,13,1,0,439.0552,1.333333333,0.866666667,439.05518,6,"O",-0.2,"----","----","HUnSatLig","----","----","----",439.15671,439,0.15671
"91",15,21,3,7,0,0,354.1307,1.4,0.466666667,354.13067,7,"CRAM",0.235294118,"----","----","HUnSatLig","----","----","----",354.21256,354,0.21256
"92",15,22,0,7,0,0,313.1293,1.466666667,0.466666667,313.12928,5,"O",0.130434783,"----","----","HUnSatLig","----","----","----",313.20168,313,0.20168
"93",15,22,0,8,0,0,329.1242,1.466666667,0.533333333,329.12419,5,"O",0.090909091,"----","----","HUnSatLig","----","----","----",329.2003,329,0.2003
"94",15,22,0,9,0,0,345.1191,1.466666667,0.6,345.1191,5,"O",0.047619048,"----","----","HUnSatLig","----","----","----",345.19891,345,0.19891
"95",15,22,0,10,0,0,361.114,1.466666667,0.666666667,361.11402,5,"O",0,"----","----","HUnSatLig","----","----","----",361.19752,361,0.19752
"96",15,22,0,11,0,0,377.1089,1.466666667,0.733333333,377.10893,5,"O",-0.052631579,"----","----","HUnSatLig","----","----","----",377.19614,377,0.19614
"97",15,22,0,12,0,0,393.1038,1.466666667,0.8,393.10385,5,"O",-0.111111111,"----","----","HUnSatLig","----","----","----",393.19475,393,0.19475
"98",15,22,0,13,0,0,409.0988,1.466666667,0.866666667,409.09876,5,"O",-0.176470588,"----","----","HUnSatLig","----","----","----",409.19336,409,0.19336
"99",15,22,4,8,0,0,385.1365,1.466666667,0.533333333,385.13649,7,"CRAM",0.142857143,"----","----","HUnSatLig","----","----","----",385.22554,385,0.22554
"100",15,23,3,6,0,0,340.1514,1.533333333,0.4,340.15141,6,"CRAM",0.166666667,"----","----","----","----","----","Alipat+N",340.23006,340,0.23006
"101",15,23,3,7,0,0,356.1463,1.533333333,0.466666667,356.14632,6,"CRAM",0.117647059,"----","----","----","----","----","Alipat+N",356.22868,356,0.22868
"102",15,23,3,8,0,0,372.1412,1.533333333,0.533333333,372.14124,6,"O",0.0625,"----","----","----","----","----","Alipat+N",372.22729,372,0.22729
"103",15,23,5,7,0,0,384.1525,1.533333333,0.466666667,384.15247,7,"CRAM",0.153846154,"----","----","----","----","----","Alipat+N",384.2413,384,0.2413
"104",15,24,0,7,0,0,315.1449,1.6,0.466666667,315.14493,4,"O",0.043478261,"----","----","----","AlipatNoN","----","----",315.2178,315,0.2178
"105",15,24,0,8,0,0,331.1398,1.6,0.533333333,331.13984,4,"O",0,"----","----","----","AlipatNoN","----","----",331.21641,331,0.21641
"106",15,24,0,9,0,0,347.1348,1.6,0.6,347.13475,4,"O",-0.047619048,"----","----","----","----","SatFACarb","----",347.21502,347,0.21502
"107",15,24,0,11,0,0,379.1246,1.6,0.733333333,379.12458,4,"O",-0.157894737,"----","----","----","----","SatFACarb","----",379.21225,379,0.21225
"108",15,24,0,12,0,0,395.1195,1.6,0.8,395.1195,4,"O",-0.222222222,"----","----","----","----","SatFACarb","----",395.21086,395,0.21086
"109",15,24,0,13,0,0,411.1144,1.6,0.866666667,411.11441,4,"O",-0.294117647,"----","----","----","----","SatFACarb","----",411.20948,411,0.20948
"110",15,24,0,14,0,0,427.1093,1.6,0.933333333,427.10933,4,"O",-0.375,"----","----","----","----","SatFACarb","----",427.20809,427,0.20809
"111",15,24,2,7,0,0,343.1511,1.6,0.466666667,343.15107,5,"O",0.052631579,"----","----","----","----","----","Alipat+N",343.23042,343,0.23042
"112",15,24,2,8,0,0,359.146,1.6,0.533333333,359.14599,5,"O",0,"----","----","----","----","----","Alipat+N",359.22904,359,0.22904
"113",15,24,4,6,0,0,355.1623,1.6,0.4,355.16231,6,"CRAM",0.125,"----","----","----","----","----","Alipat+N",355.24443,355,0.24443
"114",15,24,4,7,0,0,371.1572,1.6,0.466666667,371.15722,6,"CRAM",0.066666667,"----","----","----","----","----","Alipat+N",371.24305,371,0.24305
"115",15,24,4,8,0,0,387.1521,1.6,0.533333333,387.15214,6,"O",0,"----","----","----","----","----","Alipat+N",387.24166,387,0.24166
"116",15,25,3,5,0,0,326.1721,1.666666667,0.333333333,326.17214,5,"CRAM",0.105263158,"----","----","----","----","----","Alipat+N",326.24757,326,0.24757
"117",15,25,3,6,0,0,342.1671,1.666666667,0.4,342.16706,5,"CRAM",0.055555556,"----","----","----","----","----","Alipat+N",342.24618,342,0.24618
"118",15,25,3,7,0,0,358.162,1.666666667,0.466666667,358.16197,5,"O",0,"----","----","----","----","----","Alipat+N",358.24479,358,0.24479
"119",15,25,3,8,0,0,374.1569,1.666666667,0.533333333,374.15689,5,"O",-0.0625,"----","----","----","----","----","Alipat+N",374.24341,374,0.24341
"120",15,26,0,10,0,0,365.1453,1.733333333,0.666666667,365.14532,3,"O",-0.2,"----","----","----","----","SatFACarb","----",365.22975,365,0.22975
"121",15,26,0,11,0,0,381.1402,1.733333333,0.733333333,381.14023,3,"O",-0.263157895,"----","----","----","----","SatFACarb","----",381.22837,381,0.22837
"122",15,26,0,12,0,0,397.1351,1.733333333,0.8,397.13515,3,"O",-0.333333333,"----","----","----","----","SatFACarb","----",397.22698,397,0.22698
"123",15,26,0,13,0,0,413.1301,1.733333333,0.866666667,413.13006,3,"O",-0.411764706,"----","----","----","----","SatFACarb","----",413.22559,413,0.22559
"124",15,26,0,14,0,0,429.125,1.733333333,0.933333333,429.12498,3,"O",-0.5,"----","----","----","----","SatFACarb","----",429.22421,429,0.22421
"125",15,26,4,5,0,0,341.183,1.733333333,0.333333333,341.18304,5,"O",0.058823529,"----","----","----","----","----","Alipat+N",341.26194,341,0.26194
"126",15,26,4,6,0,0,357.178,1.733333333,0.4,357.17796,5,"O",0,"----","----","----","----","----","Alipat+N",357.26055,357,0.26055
"127",15,26,4,7,0,0,373.1729,1.733333333,0.466666667,373.17287,5,"O",-0.066666667,"----","----","----","----","----","Alipat+N",373.25916,373,0.25916
"128",15,27,1,10,0,0,380.1562,1.8,0.666666667,380.15622,3,"O",-0.277777778,"----","----","----","----","SatFACarb","----",380.24412,380,0.24412
"129",15,27,1,12,1,0,444.1181,1.8,0.8,444.11812,3,"O",-0.642857143,"----","----","----","----","SatFACarb","----",444.22081,444,0.22081
"130",15,27,2,11,0,1,441.128,1.8,0.733333333,441.12797,4,"O",-0.461538462,"----","----","----","----","SatFACarb","----",441.22997,441,0.22997
"131",15,27,3,5,0,0,328.1878,1.8,0.333333333,328.18779,4,"O",0,"----","----","----","----","----","Alipat+N",328.26368,328,0.26368
"132",15,27,3,6,0,0,344.1827,1.8,0.4,344.18271,4,"O",-0.055555556,"----","----","----","----","----","Alipat+N",344.2623,344,0.2623
"133",15,27,3,7,0,0,360.1776,1.8,0.466666667,360.17762,4,"O",-0.117647059,"----","----","----","----","----","Alipat+N",360.26091,360,0.26091
"134",15,27,5,6,0,0,372.1889,1.8,0.4,372.18886,5,"O",-0.071428571,"----","----","----","----","----","Alipat+N",372.27492,372,0.27492
"135",15,28,0,8,0,0,335.1711,1.866666667,0.533333333,335.17114,2,"O",-0.181818182,"----","----","----","AlipatNoN","----","----",335.24864,335,0.24864
"136",15,28,0,10,1,0,399.133,1.866666667,0.666666667,399.13304,2,"O",-0.444444444,"----","----","----","----","SatFACarb","----",399.22533,399,0.22533
"137",15,28,0,12,1,0,431.1229,1.866666667,0.8,431.12287,2,"O",-0.625,"----","----","----","----","SatFACarb","----",431.22256,431,0.22256
"138",15,28,4,5,0,0,343.1987,1.866666667,0.333333333,343.19869,4,"O",-0.058823529,"----","----","----","----","----","Alipat+N",343.27805,343,0.27805
"139",15,28,4,6,0,0,359.1936,1.866666667,0.4,359.19361,4,"O",-0.125,"----","----","----","----","----","Alipat+N",359.27667,359,0.27667
"140",15,28,4,7,0,0,375.1885,1.866666667,0.466666667,375.18852,4,"O",-0.2,"----","----","----","----","----","Alipat+N",375.27528,375,0.27528
"141",15,29,3,4,0,0,314.2085,1.933333333,0.266666667,314.20853,3,"O",-0.05,"----","----","----","----","----","Alipat+N",314.28119,314,0.28119
"142",15,29,3,5,0,0,330.2034,1.933333333,0.333333333,330.20344,3,"O",-0.105263158,"----","----","----","----","----","Alipat+N",330.2798,330,0.2798
"143",16,8,0,9,0,0,343.0096,0.5,0.5625,343.00955,13,"O",0.739130435,"CondAr","----","----","----","----","----",343.08887,343,0.08887
"144",16,8,0,10,0,0,359.0045,0.5,0.625,359.00447,13,"O",0.727272727,"CondAr","----","----","----","----","----",359.08748,359,0.08748
"145",16,8,0,11,0,0,374.9994,0.5,0.6875,374.99938,13,"O",0.714285714,"CondAr","----","----","----","----","----",375.0861,375,0.0861
"146",16,10,0,8,0,0,329.0303,0.625,0.5,329.03029,12,"O",0.666666667,"CondAr","----","----","----","----","----",329.10637,329,0.10637
"147",16,10,0,9,0,0,345.0252,0.625,0.5625,345.0252,12,"O",0.652173913,"----","Aromatic","----","----","----","----",345.10499,345,0.10499
"148",16,10,0,10,0,0,361.0201,0.625,0.625,361.02012,12,"O",0.636363636,"----","Aromatic","----","----","----","----",361.1036,361,0.1036
"149",16,10,0,11,0,0,377.015,0.625,0.6875,377.01503,12,"O",0.619047619,"----","Aromatic","----","----","----","----",377.10221,377,0.10221
"150",16,10,0,12,0,0,393.0099,0.625,0.75,393.00995,12,"O",0.6,"----","Aromatic","----","----","----","----",393.10083,393,0.10083
"151",16,12,0,8,0,0,331.0459,0.75,0.5,331.04594,11,"O",0.583333333,"----","Aromatic","----","----","----","----",331.12249,331,0.12249
"152",16,12,0,9,0,0,347.0409,0.75,0.5625,347.04085,11,"O",0.565217391,"----","Aromatic","----","----","----","----",347.1211,347,0.1211
"153",16,12,0,10,0,0,363.0358,0.75,0.625,363.03577,11,"O",0.545454545,"----","Aromatic","----","----","----","----",363.11972,363,0.11972
"154",16,12,0,11,0,0,379.0307,0.75,0.6875,379.03068,11,"O",0.523809524,"----","Aromatic","----","----","----","----",379.11833,379,0.11833
"155",16,12,0,12,0,0,395.0256,0.75,0.75,395.0256,11,"O",0.5,"----","----","HUnSatLig","----","----","----",395.11694,395,0.11694
"156",16,12,0,13,0,0,411.0205,0.75,0.8125,411.02051,11,"O",0.473684211,"----","----","HUnSatLig","----","----","----",411.11556,411,0.11556
"157",16,13,1,9,0,0,362.0518,0.8125,0.5625,362.05175,11,"O",0.571428571,"----","Aromatic","----","----","----","----",362.13547,362,0.13547
"158",16,14,0,7,0,0,317.0667,0.875,0.4375,317.06668,10,"CRAM",0.52,"----","Aromatic","----","----","----","----",317.13999,317,0.13999
"159",16,14,0,8,0,0,333.0616,0.875,0.5,333.06159,10,"CRAM",0.5,"----","----","HUnSatLig","----","----","----",333.13861,333,0.13861
"160",16,14,0,9,0,0,349.0565,0.875,0.5625,349.0565,10,"CRAM",0.47826087,"----","----","HUnSatLig","----","----","----",349.13722,349,0.13722
"161",16,14,0,10,0,0,365.0514,0.875,0.625,365.05142,10,"CRAM",0.454545455,"----","----","HUnSatLig","----","----","----",365.13583,365,0.13583
"162",16,14,0,11,0,0,381.0463,0.875,0.6875,381.04633,10,"CRAM",0.428571429,"----","----","HUnSatLig","----","----","----",381.13445,381,0.13445
"163",16,14,0,12,0,0,397.0412,0.875,0.75,397.04125,10,"CRAM",0.4,"----","----","HUnSatLig","----","----","----",397.13306,397,0.13306
"164",16,14,0,13,0,0,413.0362,0.875,0.8125,413.03616,10,"O",0.368421053,"----","----","HUnSatLig","----","----","----",413.13167,413,0.13167
"165",16,15,1,8,0,0,348.0725,0.9375,0.5,348.07249,10,"CRAM",0.5,"----","----","HUnSatLig","----","----","----",348.15298,348,0.15298
"166",16,15,1,9,0,0,364.0674,0.9375,0.5625,364.0674,10,"CRAM",0.476190476,"----","----","HUnSatLig","----","----","----",364.15159,364,0.15159
