C,H,N,O,S,P,,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
14,26,0,9,1,0,,369.1224757,,NA,NA,NA,,,1964839,2755280,2214348,,1.857142857,0.642857143,,369.12248,2,0.142857143,0.076923077,0.222222222,O,,,-0.411764706,,----,----,----,----,SatFACarb,----,,369.20783,369.00000,0.20783
14,26,0,10,1,0,,385.1173903,,4198753,4539110,3586148,,,11992650,8256483,11736025,,1.857142857,0.714285714,,385.11739,2,0.142857143,0.076923077,0.2,O,,,-0.5,,----,----,----,----,SatFACarb,----,,385.20644,385.00000,0.20644
14,26,0,12,1,0,,417.1072195,,2633302,2150020,2357025,,,4179261,4900979,3593518,,1.857142857,0.857142857,,417.10722,2,0.142857143,0.076923077,0.166666667,O,,,-0.714285714,,----,----,----,----,SatFACarb,----,,417.20367,417.00000,0.20367
14,26,0,13,1,0,,433.1021341,,1865045,2136362,1658809,,,3540093,3839756,3385919,,1.857142857,0.928571429,,433.10213,2,0.142857143,0.076923077,0.153846154,O,,,-0.846153846,,----,----,----,----,SatFACarb,----,,433.20228,433.00000,0.20228
14,26,4,5,0,0,,329.1830426,,NA,NA,NA,,,2084305,1868578,2015518,,1.857142857,0.357142857,,329.18304,4,0.285714286,0.153846154,0.8,O,,,-0.066666667,,----,----,----,----,----,Alipat+N,,329.25916,329.00000,0.25916
14,26,4,6,0,0,,345.1779572,,2330073,2351440,2416024,,,3332846,3280334,3127981,,1.857142857,0.428571429,,345.17796,4,0.285714286,0.153846154,0.666666667,O,,,-0.142857143,,----,----,----,----,----,Alipat+N,,345.25777,345.00000,0.25777
14,27,3,4,0,0,,300.192879,,1920040,1748110,1875139,,,3541891,3889123,3624519,,1.928571429,0.285714286,,300.19288,3,0.214285714,0.111111111,0.75,O,,,-0.055555556,,----,----,----,----,----,Alipat+N,,300.26229,300.00000,0.26229
14,27,3,5,0,0,,316.1877936,,2493348,2066157,2605684,,,3936771,5186429,3947168,,1.928571429,0.357142857,,316.18779,3,0.214285714,0.111111111,0.6,O,,,-0.117647059,,----,----,----,----,----,Alipat+N,,316.26091,316.00000,0.26091
14,27,3,6,0,0,,332.1827082,,NA,NA,NA,,,2344858,2516899,1784271,,1.928571429,0.428571429,,332.18271,3,0.214285714,0.111111111,0.5,O,,,-0.1875,,----,----,----,----,----,Alipat+N,,332.25952,332.00000,0.25952
14,27,3,6,1,0,,364.1547789,,NA,NA,NA,,,1617475,1921296,1591853,,1.928571429,0.428571429,,364.15478,3,0.214285714,0.111111111,0.5,O,,,-0.357142857,,----,----,----,----,----,Alipat+N,,364.23898,364.00000,0.23898
14,27,3,7,1,0,,380.1496935,,NA,NA,NA,,,1877349,1891570,1977172,,1.928571429,0.5,,380.14969,3,0.214285714,0.111111111,0.428571429,O,,,-0.461538462,,----,----,----,----,----,Alipat+N,,380.23760,380.00000,0.23760
14,28,0,6,1,0,,323.1533819,,NA,NA,NA,,,2574732,2705006,2306308,,2,0.428571429,,323.15338,1,0.071428571,0.035714286,0.166666667,O,,,-0.3,,----,----,----,AlipatNoN,----,----,,323.22811,323.00000,0.22811
14,30,0,5,1,0,,309.1741173,,NA,NA,NA,,,3506439,3205376,2127551,,2.142857143,0.357142857,,309.17412,0,0,0,0,O,,,-0.333333333,,----,----,----,AlipatNoN,----,----,,309.24561,309.00000,0.24561
14,31,4,4,0,1,,349.2010145,,6110921,6841688,6569976,,,9856376,12347404,9767182,,2.214285714,0.285714286,,349.20101,2,0.142857143,0.064516129,0.5,O,,,-0.357142857,,----,----,----,----,----,Alipat+N,,349.28176,349.00000,0.28176
15,10,0,8,0,0,,317.0302904,,1844255,1823867,1647882,,,NA,NA,NA,,0.666666667,0.533333333,,317.03029,11,0.733333333,1.1,1.375,O,,,0.636363636,,----,Aromatic,----,----,----,----,,317.10360,317.00000,0.10360
15,10,0,9,0,0,,333.025205,,3117443,2946653,3399103,,,NA,NA,NA,,0.666666667,0.6,,333.02520,11,0.733333333,1.1,1.222222222,O,,,0.619047619,,----,Aromatic,----,----,----,----,,333.10221,333.00000,0.10221
15,10,0,10,0,0,,349.0201196,,4771470,4616488,4309956,,,NA,NA,NA,,0.666666667,0.666666667,,349.02012,11,0.733333333,1.1,1.1,O,,,0.6,,----,Aromatic,----,----,----,----,,349.10083,349.00000,0.10083
